text,date
Turkish Airlines resumes flights to United States,2020-06-19 07:00:00Z
Turkish Airlines to begin regular flights in June,2020-05-07 07:00:00Z
"Turkish Airlines resumes flights to Italy, Bulgaria",2020-07-02 07:00:00Z
Turkish Airlines to extend flight suspension until May 28 | Daily Sabah,2020-04-28 07:00:00Z
Turkish Airlines extends flight suspension to China,2020-02-03 08:00:00Z
Turkish Airlines extends flight cancellations until May 20,2020-04-14 07:00:00Z
Turkish Airlines Will Operate Almost 200 Rescue Flights This Week,2020-04-21 07:00:00Z
Turkish Airlines Cuts Back International Network – Aeronautics,2020-03-23 07:00:00Z
"Turkish Airlines to resume Serbia, Bosnia and Macedonia flights",2020-06-09 07:00:00Z
"Alert: Potential Flights July 8, 15, 22, 29: Turkish Airlines Charters to Istanbul",2020-07-01 07:00:00Z
"Emirates, Turkish Airlines slash route networks, ground aircraft",2020-03-22 07:00:00Z
Turkish Airlines Won’t Fly Again Until Late April,2020-04-06 07:00:00Z
"Turkish Airlines resumes flights to Italy, Bulgaria, Northern Cyprus | Daily Sabah",2020-07-02 07:00:00Z
Turkish Airlines extends suspension of global flights,2020-04-02 07:00:00Z
Turkish Airlines says it suspends flights to China until February 9,2020-01-30 08:00:00Z
Turkish Airlines Approves Codeshare Agreement with Pakistan International Airlines,2020-07-27 07:00:00Z
Turkish Airlines to resume flights from Bangladesh,2020-06-29 07:00:00Z
Turkish Airlines offers 40% discount for health workers,2020-06-08 07:00:00Z
Turkish Airlines returning to Russia Read more / Skip,2020-07-15 07:00:00Z
"Turkish Airlines ""Draws"" Massive Flag In Sky",2020-04-23 07:00:00Z
Watch as TPG UK reviews Turkish Airlines in business and economy at the same time,2020-05-28 07:00:00Z
Turkish Airlines Rides Tailwinds for Peer-Beating Stock Recovery,2020-05-29 07:00:00Z
Turkish Airlines mega-operation to bring nationals home,2020-04-20 07:00:00Z
Turkish Airlines temporarily halts flights to Italy,2020-03-01 08:00:00Z
